offset_seconds,frequency_hz
0.500000,59.912066
1.500000,59.950751
2.500000,59.912066
3.500000,59.842366
4.500000,59.842366
5.500000,59.883388
6.500000,60.029040
7.500000,60.029040
8.500000,59.901159
9.500000,59.901159
10.500000,59.901159
11.500000,60.029257
12.500000,59.949703
13.500000,59.949703
14.500000,59.949703
15.500000,59.962800
16.500000,60.036058
17.500000,60.059329
18.500000,60.059329
19.500000,60.059329
20.500000,60.054523
21.500000,60.054523
22.500000,60.054523
23.500000,59.986057
24.500000,60.082624
25.500000,60.086358
26.500000,60.103720
27.500000,60.103720
28.500000,60.087720
29.500000,60.049333
30.500000,60.049333
31.500000,60.005232
32.500000,60.125795
33.500000,60.061460
34.500000,60.061460
35.500000,60.033377
36.500000,59.891504
37.500000,59.877801
38.500000,59.891504
39.500000,59.911196
40.500000,60.007428
41.500000,60.027076
42.500000,60.062575
43.500000,60.086208
44.500000,60.086208
45.500000,60.057065
46.500000,60.010446
47.500000,59.949273
48.500000,59.879069
49.500000,59.879069
50.500000,59.881670
51.500000,59.883826
52.500000,59.989993
53.500000,59.989993
54.500000,59.989993
55.500000,59.996921
56.500000,59.996921
57.500000,59.996921
58.500000,60.033789
59.500000,60.033789
60.500000,59.940675
61.500000,59.940675
62.500000,60.019398
63.500000,60.019398
64.500000,60.002881
65.500000,59.956270
66.500000,60.002881
67.500000,59.940855
68.500000,59.966452
69.500000,59.923022
70.500000,59.966452
71.500000,59.983656
72.500000,60.108685
73.500000,60.108685
74.500000,60.030633
75.500000,60.013876
76.500000,59.979015
77.500000,59.979015
78.500000,60.016399
79.500000,60.042526
80.500000,60.042526
81.500000,60.138391
82.500000,60.138391
83.500000,60.127051
84.500000,60.114824
85.500000,60.005360
86.500000,59.909182
87.500000,59.909182
88.500000,59.955200
89.500000,60.082826
90.500000,60.082826
91.500000,60.082826
92.500000,60.080247
93.500000,60.031167
94.500000,59.967340
95.500000,59.967340
96.500000,60.046300
97.500000,60.046300
98.500000,60.046300
99.500000,59.957488
100.500000,60.027837
101.500000,60.027837
102.500000,60.027837
103.500000,60.011178
104.500000,60.001124
105.500000,59.969811
106.500000,60.001124
107.500000,59.969811
108.500000,60.020392
109.500000,60.000571
110.500000,60.000571
111.500000,59.946474
112.500000,59.946474
113.500000,59.946474
114.500000,59.911782
115.500000,59.911782
116.500000,59.972686
117.500000,60.003198
118.500000,60.003198
119.500000,60.003198
120.500000,59.991295
121.500000,59.991295
122.500000,60.012760
123.500000,60.012760
124.500000,60.012760
125.500000,59.938820
126.500000,59.938820
127.500000,59.938820
128.500000,59.898897
129.500000,59.898897
130.500000,59.898897
131.500000,59.989285
132.500000,59.989285
133.500000,59.931192
134.500000,59.869200
135.500000,59.869200
136.500000,59.924325
137.500000,59.924325
138.500000,59.889606
139.500000,59.889606
140.500000,59.911973
141.500000,60.021187
142.500000,59.911973
143.500000,60.005389
144.500000,59.992002
145.500000,59.992002
146.500000,59.992002
147.500000,60.077854
148.500000,60.077854
149.500000,60.022014
150.500000,59.929506
151.500000,59.929506
152.500000,59.954844
153.500000,59.970952
154.500000,59.970952
155.500000,59.932020
156.500000,59.932020
157.500000,59.979658
158.500000,59.987426
159.500000,59.979658
160.500000,59.987426
161.500000,59.999077
162.500000,59.999077
163.500000,59.940620
164.500000,59.940620
165.500000,59.996709
166.500000,59.996709
167.500000,59.980486
168.500000,59.980486
169.500000,60.015690
170.500000,60.033824
171.500000,60.033824
172.500000,60.033824
173.500000,60.013637
174.500000,60.006838
175.500000,60.006838
176.500000,60.006838
177.500000,59.975367
178.500000,59.944739
179.500000,59.939669
180.500000,59.939669
181.500000,60.010537
182.500000,60.047283
183.500000,60.010537
184.500000,60.047283
185.500000,60.006600
186.500000,60.006600
187.500000,60.006600
188.500000,59.991154
189.500000,59.991154
190.500000,59.991154
191.500000,60.041993
192.500000,60.123423
193.500000,60.050237
194.500000,60.050237
195.500000,59.993274
196.500000,59.966567
197.500000,59.966567
198.500000,60.024664
199.500000,60.024664
200.500000,60.024664
201.500000,60.112209
202.500000,60.112209
203.500000,60.109219
204.500000,60.061903
205.500000,60.061903
206.500000,59.953030
207.500000,60.085997
208.500000,60.085997
209.500000,60.085997
210.500000,59.975422
211.500000,59.975422
212.500000,59.927250
213.500000,59.999530
214.500000,59.999530
215.500000,60.045335
216.500000,60.077072
217.500000,60.109939
218.500000,60.109939
219.500000,59.949342
220.500000,59.949342
221.500000,60.018757
222.500000,60.018757
223.500000,59.968975
224.500000,59.968975
225.500000,59.926833
226.500000,59.983298
227.500000,59.898017
228.500000,59.983298
229.500000,60.029559
230.500000,60.029559
231.500000,59.943897
232.500000,59.942454
233.500000,59.927997
234.500000,59.927997
235.500000,59.871854
236.500000,59.871854
237.500000,59.890120
238.500000,59.912115
239.500000,59.950867
240.500000,59.913791
241.500000,59.950867
242.500000,59.996953
243.500000,59.996953
244.500000,59.957283
245.500000,59.957283
246.500000,59.976899
247.500000,60.026634
248.500000,60.082172
249.500000,60.059903
250.500000,60.059903
251.500000,60.059903
252.500000,59.993747
253.500000,59.993747
254.500000,59.904200
255.500000,59.899389
256.500000,59.899389
257.500000,59.848258
258.500000,59.945892
259.500000,60.051519
260.500000,60.092510
261.500000,60.169618
262.500000,60.092510
263.500000,60.029207
264.500000,60.029207
265.500000,60.029207
266.500000,59.992300
267.500000,59.992300
268.500000,59.992300
269.500000,59.965612
270.500000,59.965612
271.500000,59.965612
272.500000,59.930332
273.500000,59.930332
274.500000,60.000532
275.500000,60.027273
276.500000,60.027273
277.500000,60.029676
278.500000,60.029676
279.500000,60.074767
280.500000,60.074767
281.500000,60.074767
282.500000,60.082616
283.500000,60.065745
284.500000,60.082616
285.500000,60.081573
286.500000,60.081573
287.500000,59.991774
288.500000,59.991774
289.500000,60.031228
290.500000,60.067102
291.500000,60.067102
292.500000,60.067102
293.500000,60.048922
294.500000,60.048922
295.500000,59.929046
296.500000,59.929046
297.500000,59.929046
298.500000,59.929571
299.500000,59.863916
300.500000,60.044852
301.500000,60.044852
302.500000,60.044852
303.500000,60.037472
304.500000,59.939831
305.500000,59.963570
306.500000,59.939831
307.500000,59.963570
308.500000,59.969140
309.500000,60.018763
310.500000,60.018763
311.500000,60.018763
312.500000,59.992301
313.500000,59.999311
314.500000,59.992301
315.500000,59.941650
316.500000,59.941650
317.500000,59.894777
318.500000,59.993171
319.500000,59.940598
320.500000,59.956709
321.500000,59.956709
322.500000,60.006084
323.500000,60.040203
324.500000,60.006084
325.500000,59.946289
326.500000,59.946289
327.500000,60.129781
328.500000,60.129781
329.500000,60.080925
330.500000,60.080925
331.500000,60.080925
332.500000,60.071538
333.500000,60.071538
334.500000,60.111031
335.500000,60.111031
336.500000,60.012418
337.500000,60.012418
338.500000,59.991836
339.500000,59.960933
